;author;text;title
0; Luis Aguilera;" Passa l'ultimo amore
 verso un'età proibita.
 Nessuno esce a riceverlo,
 a rallegrarsene, a festeggiarlo.

 Come la foglia staccatasi dall'albero
 non interrompe la sua luce: narra
 un'altra stagione o la proscrive.
 Sedicente, matura nella lentezza
 lo splendore che lo scopre.

 Sopra la prima linea delle labbra
 baci di sabbia che rimangono
 per udire il mare quando si allontana. ";Sabbia
1;Scipione Errico ;"Nuotava Filli, e i tremoli candori
per le liquide vie dolce spingea;
e, dispersi, arricchian l’onda nerea
de l’umidetto crin gli aurei fulgori.
Or tuffavasi audace, ed or s’ergea,
sparsa di perle i tumidetti avori;
era a veder, fra gli spumanti umori,
di più rara beltà nascente dea.
Ridean gli orridi scogli, e, d’amor piena,
quelle tenere sue nevi guizzanti
correa dolce a baciar l’onda tirrena.
Stavansi in contemplar, vaghi e tremanti,
a stuolo a stuol, su la depinta arena,
la remora gradita i caldi amanti.";Bella natatrice
2;Silvio  Pellico;"FRANCESCA. Eterno Iddio!
Che è questo mai?
PAOLO. T’amo, Francesca, t’amo,
e disperato è l’amor mio!
F. Che intendo?
Deliro io forse? che dicesti?
P. Io t’amo!
F. Che ardisci? Ah taci! Udir potrian... Tu m’ami!
Sì repentina è la tua fiamma? Ignori
che tua cognata io son? Porre in obblio
sì tosto puoi la tua perduta amante?...
Misera me! questa mia man, deh, lascia!
Delitto sono i baci tuoi!
P. Repente
non è, non è la fiamma mia. Perduta
ho una donna, e sei tu; di te parlava;
di te piangea; te amava; te sempre amo;
te amerò sino all’ultim’ora! e s’anco
dell’empio amor soffrir dovessi eterno
il castigo sotterra, eternamente
più e più sempre t’amerò!
F. Fia vero?
M’amavi?
P. Il giorno che a Ravenna io giunsi
ambasciator del padre mio, ti vidi
varcare un atrio col feral corteggio
di meste donne, ed arrestarti a’ piedi
d’un recente sepolcro, e ossequïosa
ivi prostrarti, e le man giunte al cielo
alzar con muto ma dirotto pianto.
Chi è colei? dissi a talun. - La figlia
di Guido, mi rispose. - E quel sepolcro? -
Di sua madre il sepolcro. - Oh, quanta al core
pietà sentii di quell’afflitta figlia!
Oh qual confuso palpitar!... Velata
eri, o Francesca: gli occhi tuoi non vidi
quel giorno, ma t’amai fin da quel giorno.
F. Tu... deh, cessa!... m’amavi?
P. Io questa fiamma
alcun tempo celai, ma un dì mi parve
che tu nel cor letto m’avessi. Il piede
dalle virginee tue stanze volgevi
al secreto giardino. E presso al lago
in mezzo ai fior prosteso, io sospirando
le tue stanze guardava: e al venir tuo
tremando sorsi. - Sopra un libro attenti
non mi vedeano gli occhi tuoi; sul libro
ti cadeva una lagrima... Commosso
mi t’accostai. Perplessi eran miei detti,
perplessi pure erano i tuoi. Quel libro
mi porgesti e leggemmo. Insiem leggemmo
“Di Lancillotto come amor lo strinse.
“Soli eravamo e senza alcun sospetto...”
Gli sguardi nostri s’incontraro... il viso
mio scolorossi... tu tremavi... e ratta
ti dileguasti.
F. Oh giorno! A te quel libro
restava.
P. Ei posa sul mio cuor. Felice
nella mia lontananza egli mi fea.
Ecco: vedi le carte che leggemmo.
Ecco: vedi, la lagrima qui cadde
dagli occhi tuoi quel dì.";dalla Francesca da Rimini
3;Cecco Nuccoli;"Io veggio ben la mia disavventura,
che per temenza perdo il mio desire,
e veggio ben che uom ch'è senza ardire,
suo pregio non acquista per paura.
Uom, ch’ ha coraggio, puote aver ventura,
e bene è matto chi perde per dire,
come chi crede di poter fuggire,
umiliando sempre la natura.
La gran temenza mi toglie ardimento
di dire a voi quello ch’io porto in core,
tal ho paura di far fallimento.
Ch’io non vi dico s’io vi porto Amore,
ch’io sono in fuoco, ed in grande tormento,
e son già quasi morto dal dolore.";Io veggio ben
4;Unknown;"Giovedì 8 Maggio 2014 alle ore 21.00
alla Casa della Poesia di Milano,
Palazzina Liberty, Largo Marinai d'Italia 1, 
Nicola Crocetti, Tomaso Kemeny, Ezio Savino
presentano la nuova edizione integrale di
Quarta dimensione Mi hai chiamato
 da una regione lontana.
 Quando creammo il miracolo,
 era tempo di nostalgia.
 E con la tua bocca
 hai sfiorato le valli
 e i boschi fin nel profondo.

 Chiarissima, vicino alla mia mente
 è sgorgata una fonte
 e mi ha fatto vibrare.
 Quanto ti sono vicino.
 Mi hai affidato
 tutta la tua parola sommessa
 e sei rimasta laggiù.

 La cornetta che sostengo
 fino a farmi male
 risuona come la casa, fredda,
 in cui vado origliando.
 Pur attraverso l'ampia distesa
 anche senza la tua mano
 ti ho capito perfettamente."; Telefonata 
5;Unknown;"Giovedì 8 Maggio 2014 alle ore 21.00
alla Casa della Poesia di Milano,
Palazzina Liberty, Largo Marinai d'Italia 1, 
Nicola Crocetti, Tomaso Kemeny, Ezio Savino
presentano la nuova edizione integrale di
Quarta dimensione Ed ecco di nuovo il tempo dei girasoli
 già con favi scuri e molto oro ancora.
 Quasi ci affatica l'azzurro smisurato.
 Ogni mezzogiorno ci venivamo incontro
 e già vedevo che eravamo più vicini di un palmo,
 e così, un giorno sarei rotolato in te,
 non so come, ma tutto e caldo come una ruota.
 Non spira vento. Ed ecco all'improvviso i girasoli,
 e ognuno, illuminato come una statua, ha
 di te il leggero dondolio della corporatura,
 forse un annuire del capo, che non ci fu mai.
 Sei tu passata accanto a me, o io accanto a te?

 Si accorciano i giorni, cresce l'anno.
 Guarda, sono tornati i girasoli."; Domanda 
6;Veronica Franco;"Come talor dal ciel sotto umil tetto
Giove tra noi qua giú benigno scende,
e perché occhio terren dall’alt’oggetto
non resti vinto, umana forma prende;
cosí venne al mio povero ricetto,
senza pompa real ch’abbaglia e splende,
dal fato Enrico a tal dominio eletto,
ch’un sol mondo nol cape e nol comprende.
Benché sí sconosciuto, anch’al mio core
tal raggio impresse del divin suo merto,
che ’n me s’estinse il natural vigore.
Di ch’ei, di tant’affetto non incerto,
l’imagin mia di smalt’e di colore
prese al partir con grat’animo aperto.";Come talor dal ciel
7;Heinz Kahlau;"Se non ci sei,
 ho sempre
 quel che hai detto
 e ho il tuo volto.

 Delle tue parole
 conservo più a lungo
 quelle sommesse.
 Quasi soltanto il loro suono,
 il loro carezzare.
 Poi ci sono quelle
 che fanno male,
 – difficili da dimenticare.

 Dei colloqui rimarrà
 solo quanto era nuovo per noi.
 Dove i pensieri si incontravano.
 Lì il tono della tua voce è
 poco femminino,
 molto umano.

 Non si può dimenticare il tuo volto. A volte è la vicinanza a farci dimenticare
 la bellezza .";Se non ci sei
8;Kostas Koutsourelis;"I primi astronauti sulla Luna,
 due anni e due mesi prima di Armstrong,
 due anni e due mesi prima di Aldrin,
 furono una colonia di batteri,
 un gruppo del tipo streptococcus mitis,
 giunti con il Surveyor 3
 il 20 aprile del ’67,
 poche ore prima che ad Atene si avviassero
 i cingolati dei colonnelli.

 Rimasero due anni e mezzo sulla luna
 rannicchiati nella videocamera dello scafo,
 là dove li aveva scagliati forse
 lo starnuto di un tecnico o di un meccanico
 raffreddato della NASA,
 quando il lancio era ancora in cantiere.

 Quando l’Apollo 12 ricondusse
 di nuovo il congegno sulla Terra,
 alla fine di novembre del ’69,
 alcuni streptococchi erano ancora vivi.
 Per novecento e rotti giorni
 erano sopravvissuti alla temperatura
 prossima allo zero assoluto, senza
 caschi di protezione o altri mezzi,
 tute per difenderli dai raggi,
 o un corpo caldo per nutrirsi.
 Per novecento e rotti giorni
 avevano resistito nel deserto.
 Profughi di questo pianeta, divennero
 i suoi primi coloni in cielo.

 La loro conquista passò sotto silenzio,
 non fu notizia da prima pagina,
 non provocò scalpore alcuno.
 Erano i giorni del massacro di My Lai,
 le vittime in Vietnam si moltiplicavano,
 Panagulis era nel carcere di Boghiati,
 le notizie grondavano di sangue e stragi,
 quanta simpatia poteva avanzare
 per il nostos di pochi batteri comuni,
 per l’odissea di questi microbi,
 davvero, chi aveva motivo di occuparsene?

 Così la vicenda fu archiviata.
 Gli esperti parlarono di un “rebus”,
 alcuni dubitarono che fosse avvenuto così,
 non fu rispettata la quarantena
 quando ricuperarono la videocamera del Surveyor,
 accadde sicuramente così, senz’altro
 gli streptococchi entrarono lì dopo.

 Meglio così, forse. Non era giusto
 che un evento casuale distogliesse
 dalle abbaglianti luci della ribalta
 le imprese nostre, degli uomini.
 È inglorioso, ingiusto accettare
 che semplicemente così, senza fatica
 né desiderio, alcuni batteri,
 creature tanto insignificanti, fossero diventati,
 due anni e due mesi prima di Armstrong,
 due anni e due mesi prima di Aldrin,
 i primi astronauti sulla Luna,
 i primi coloni della Terra sull’Altrove.";Unknown
9;Marcello Macedonio;"La vista nel candor si sparge e scioglie,
ma forza acquista quando è fisa al nero;
però dal brun che cinge un fianco altero
la mia cotanto di conforto accoglie.
Pittor che ’l vanto a la natura toglie
finge ombre e lumi e quindi aguaglia il vero:
questa è pittura; io scorgo il magistero:
le membra i lumi son, l’ombre le spoglie.
Come talor suoi raggi spande intorno
il sol per entro un nuvolo diviso,
così splende dal fosco il corpo adorno.
Ma di novo miracolo or m’aviso:
veggio uniti in costei la notte e ’l giorno;
l’una il manto ne mostra e l’altro il viso.";Abito negro
